MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
20,RL,8475,Inside,NAmes,1Fam,1Story,4,7,1956,Gable,VinylSd,TA,CBlock,228,724,952,GasA,952,0,952,0,0,1,0,2,1,TA,1,283,0,0,0,4,2008,135750
50,RM,8635,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,Gable,Wd Sdng,TA,CBlock,336,295,672,GasA,1072,213,1285,1,0,1,0,2,1,TA,1,240,0,0,0,1,2008,127000
90,RL,10778,Inside,Sawyer,Duplex,1Story,4,5,1968,Hip,HdBoard,TA,CBlock,0,1768,1768,GasA,1768,0,1768,0,0,2,0,4,2,TA,0,0,0,0,0,4,2010,136500
50,RM,10440,Corner,OldTown,1Fam,2Story,5,6,1910,Gable,Wd Sdng,TA,PConc,0,440,440,GasA,682,548,1230,0,0,1,1,2,1,TA,2,440,74,0,128,5,2009,110000
60,RL,13000,Corner,NAmes,1Fam,2Story,6,6,1968,Gable,VinylSd,TA,CBlock,448,448,896,GasA,1182,960,2142,0,0,2,1,4,1,Gd,1,509,0,72,0,6,2009,193500
120,RM,4500,FR2,Mitchel,TwnhsE,1Story,6,5,1998,Hip,VinylSd,TA,PConc,1201,36,1237,GasA,1337,0,1337,1,0,2,0,2,1,TA,2,405,0,199,0,3,2006,153500
20,RL,10206,Inside,Somerst,1Fam,1Story,8,5,2007,Gable,VinylSd,TA,PConc,33,1530,1563,GasA,1563,0,1563,0,0,2,0,3,1,Gd,3,758,144,99,0,10,2008,245000
20,RL,8892,Inside,NAmes,1Fam,1Story,5,5,1960,Gable,MetalSd,TA,CBlock,0,1065,1065,GasA,1065,0,1065,0,0,1,1,3,1,TA,2,461,74,0,0,7,2007,126500
80,RL,8530,Inside,Gilbert,1Fam,SLvl,7,5,1995,Gable,HdBoard,TA,PConc,0,384,384,GasA,804,670,1474,0,0,2,1,3,1,TA,2,400,120,72,0,5,2009,168500
60,RL,16059,Corner,NoRidge,1Fam,2Story,8,5,1991,Hip,HdBoard,Gd,CBlock,0,1288,1288,GasA,1301,1116,2417,0,0,2,1,4,1,Gd,2,462,127,82,0,4,2006,260000
60,RL,11911,Inside,Gilbert,1Fam,2Story,6,5,2005,Gable,VinylSd,Gd,PConc,0,684,684,GasA,684,876,1560,0,0,2,1,3,1,Gd,2,400,100,38,0,3,2009,174000
160,FV,3951,Corner,Somerst,TwnhsE,2Story,6,5,2009,Gable,VinylSd,Gd,PConc,0,612,612,GasA,612,612,1224,0,0,2,1,2,1,Gd,2,528,0,234,0,6,2009,164500
50,C (all),8470,Corner,IDOTRR,1Fam,1.5Fin,3,2,1915,Hip,Plywood,Fa,CBlock,0,1013,1013,GasA,1013,0,1526,0,0,1,0,2,1,Fa,0,0,0,0,156,10,2009,85000
20,RL,8070,Inside,CollgCr,1Fam,1Story,4,5,1994,Gable,VinylSd,TA,PConc,588,402,990,GasA,990,0,990,1,0,1,0,3,1,TA,0,0,0,0,0,8,2007,123600
20,RL,7200,Inside,NAmes,1Fam,1Story,4,5,1950,Gable,BrkFace,TA,Slab,0,0,0,GasA,1040,0,1040,0,0,1,0,2,1,TA,2,420,0,29,0,7,2006,109900
20,RL,8500,Inside,NAmes,1Fam,1Story,5,3,1961,Hip,HdBoard,TA,CBlock,600,635,1235,GasA,1235,0,1235,0,0,1,0,2,1,TA,2,480,0,0,0,12,2006,98600
30,RL,13360,Inside,Crawfor,1Fam,1Story,5,7,1921,Gable,Wd Sdng,TA,BrkTil,713,163,876,GasA,964,0,964,1,0,1,0,2,1,TA,2,432,0,0,44,8,2009,163500
190,C (all),7200,Corner,OldTown,2fmCon,2.5Unf,6,6,1910,Hip,MetalSd,TA,BrkTil,1046,168,1214,GasW,1260,1031,2291,0,1,2,0,4,2,TA,2,506,0,0,0,11,2007,133900
60,RL,9337,Inside,CollgCr,1Fam,2Story,6,5,1997,Gable,VinylSd,TA,PConc,648,176,824,GasA,905,881,1786,1,0,2,1,3,1,Gd,2,684,0,162,0,5,2007,204750
60,RL,9765,Corner,Gilbert,1Fam,2Story,6,8,1993,Gable,VinylSd,Ex,PConc,310,370,680,GasA,680,790,1470,0,0,2,1,3,1,TA,2,420,232,63,0,4,2009,185000
20,RL,10264,Inside,CollgCr,1Fam,1Story,7,5,1999,Gable,VinylSd,Gd,PConc,1162,426,1588,GasA,1588,0,1588,0,0,2,0,3,1,Gd,2,472,158,29,0,8,2006,214000
20,RL,10921,Inside,Edwards,1Fam,1Story,4,5,1965,Hip,HdBoard,TA,CBlock,520,440,960,GasA,960,0,960,1,0,1,0,3,1,TA,1,432,120,0,0,5,2007,94750
30,RL,10625,Corner,Edwards,1Fam,1Story,5,5,1920,Gable,Wd Sdng,TA,BrkTil,108,350,458,GasA,835,0,835,0,0,1,0,2,1,TA,1,366,0,0,77,5,2010,83000
20,RL,9320,Inside,NAmes,1Fam,1Story,4,5,1959,Gable,Plywood,TA,CBlock,569,381,950,GasA,1225,0,1225,1,0,1,1,3,1,TA,0,0,352,0,0,1,2010,128950
20,RL,10603,Inside,NWAmes,1Fam,1Story,6,7,1977,Gable,Plywood,TA,PConc,1200,410,1610,GasA,1610,0,1610,1,0,2,0,3,1,Gd,2,480,168,68,0,2,2010,205000
60,RL,9206,Inside,SawyerW,1Fam,2Story,6,5,1985,Gable,HdBoard,Gd,CBlock,0,741,741,GasA,977,755,1732,0,0,2,1,3,1,Gd,2,476,192,46,0,6,2010,178000
90,RL,7018,Inside,SawyerW,Duplex,1Story,5,5,1979,Gable,HdBoard,TA,Slab,0,0,0,GasA,1535,0,1535,0,0,2,0,4,2,TA,2,410,0,0,0,6,2009,118964
20,RL,10402,Corner,CollgCr,1Fam,1Story,7,5,2009,Gable,VinylSd,TA,PConc,0,1226,1226,GasA,1226,0,1226,0,0,2,0,3,1,Gd,3,740,0,36,0,5,2010,198900
50,RM,7758,Corner,IDOTRR,1Fam,1.5Fin,7,4,1931,Gable,Stucco,TA,PConc,224,816,1040,GasA,1226,592,1818,0,0,1,1,4,1,TA,1,240,0,0,0,6,2007,169500
60,FV,9375,Inside,Somerst,1Fam,2Story,8,5,2003,Hip,VinylSd,Gd,PConc,0,1053,1053,GasA,1053,939,1992,0,0,2,1,3,1,Gd,2,648,140,45,0,8,2008,250000
30,RM,10800,Inside,OldTown,1Fam,1Story,4,7,1885,Mansard,VinylSd,TA,BrkTil,0,641,641,GasA,1047,0,1047,0,0,1,0,2,1,TA,1,273,0,0,0,8,2007,100000
20,RM,6000,Inside,OldTown,1Fam,1Story,5,5,1948,Gable,VinylSd,TA,CBlock,104,516,789,GasA,789,0,789,0,0,1,0,2,1,TA,1,250,0,0,0,4,2008,115000
50,RM,8500,Corner,IDOTRR,1Fam,1.5Fin,5,7,1919,Gable,CemntBd,TA,CBlock,0,793,793,GasW,997,520,1517,0,0,2,0,3,1,Fa,0,0,0,0,144,8,2007,115000
20,RL,11751,Inside,NWAmes,1Fam,1Story,6,6,1977,Hip,Plywood,TA,CBlock,705,1139,1844,GasA,1844,0,1844,0,0,2,0,3,1,TA,2,546,0,122,0,1,2010,190000
50,RL,9525,Inside,Edwards,1Fam,1.5Fin,6,4,1954,Gable,Wd Sdng,TA,CBlock,444,550,994,GasA,1216,639,1855,0,0,2,0,4,1,TA,1,325,182,0,0,10,2006,136900
80,RL,7750,Inside,Gilbert,1Fam,SLvl,7,5,2000,Gable,VinylSd,TA,PConc,250,134,384,GasA,774,656,1430,0,0,2,1,3,1,TA,2,400,180,0,0,4,2010,180000
60,RL,9965,Inside,CollgCr,1Fam,2Story,7,5,2007,Gable,VinylSd,Gd,PConc,984,280,1264,GasA,1282,1414,2696,1,0,2,1,4,1,Ex,3,792,120,184,0,10,2007,383970
20,RL,21000,Corner,Crawfor,1Fam,1Story,6,5,1953,Hip,Wd Sdng,TA,CBlock,35,905,1809,GasA,2259,0,2259,1,0,2,0,3,1,Gd,2,450,166,120,192,10,2007,217000
70,RL,7259,Inside,Crawfor,1Fam,2Story,6,8,1945,Gambrel,Wd Sdng,TA,CBlock,774,104,1028,GasA,1436,884,2320,1,0,2,1,3,1,Gd,1,180,224,0,0,7,2007,259500
160,FV,3230,Corner,Somerst,TwnhsE,2Story,6,5,1999,Gable,MetalSd,TA,PConc,419,310,729,GasA,729,729,1458,0,0,2,1,2,1,TA,2,440,0,32,0,6,2007,176000
20,RL,11616,Inside,Sawyer,1Fam,1Story,5,5,1962,Gable,Wd Sdng,TA,CBlock,170,252,1092,GasA,1092,0,1092,0,1,1,0,3,1,TA,1,288,0,20,144,9,2009,139000
20,RL,8536,Corner,Edwards,1Fam,1Story,5,5,2006,Gable,VinylSd,TA,PConc,0,1125,1125,GasA,1125,0,1125,0,0,1,1,2,1,TA,2,430,80,64,0,4,2007,155000
60,RL,12376,Corner,SawyerW,1Fam,2Story,7,5,1990,Hip,Plywood,TA,PConc,1470,203,1673,GasA,1699,1523,3222,1,0,3,0,5,1,Gd,3,594,367,0,0,5,2010,320000
60,RL,8461,Inside,CollgCr,1Fam,2Story,6,5,2005,Gable,VinylSd,Gd,PConc,0,728,728,GasA,728,728,1456,0,0,2,1,3,1,Gd,2,390,0,24,0,7,2006,163990
80,RL,21453,CulDSac,ClearCr,1Fam,SLvl,6,5,1969,Flat,Plywood,TA,CBlock,938,0,938,GasA,988,0,988,1,0,1,0,1,1,TA,2,540,0,130,0,10,2006,180000
50,RM,6060,Inside,IDOTRR,1Fam,1.5Fin,4,5,1939,Gable,AsbShng,TA,PConc,0,732,732,GasA,772,351,1123,0,0,1,0,3,1,TA,1,264,0,0,140,6,2007,100000
20,RL,9464,Corner,NAmes,1Fam,1Story,6,7,1958,Hip,MetalSd,TA,CBlock,570,510,1080,GasA,1080,0,1080,0,0,1,0,3,1,TA,1,288,0,0,0,6,2008,136000
120,RL,7892,Inside,SawyerW,TwnhsE,1Story,6,5,1993,Gable,Plywood,Gd,PConc,300,899,1199,GasA,1199,0,1199,0,0,2,0,2,1,Gd,2,530,0,63,0,3,2008,153900
20,RL,17043,CulDSac,NWAmes,1Fam,1Story,6,5,1979,Gable,HdBoard,TA,CBlock,0,1362,1362,GasA,1586,0,1586,0,0,2,0,3,1,TA,2,435,192,0,0,1,2009,181000
190,RM,6780,Inside,IDOTRR,2fmCon,1.5Fin,6,8,1935,Gable,Wd Sdng,TA,CBlock,490,30,520,GasA,520,0,754,1,0,1,0,2,1,TA,0,0,53,0,0,6,2006,84500
120,RL,4928,Inside,NPkVill,TwnhsE,1Story,6,5,1976,Gable,Plywood,TA,CBlock,120,958,1078,GasA,958,0,958,0,0,2,0,2,1,TA,2,440,0,205,0,2,2007,128000
45,RM,4388,Inside,OldTown,1Fam,1.5Unf,5,7,1930,Gable,WdShing,TA,BrkTil,116,556,672,GasA,840,0,840,0,0,1,0,3,1,TA,0,0,0,0,0,6,2007,87000
60,RL,7590,Inside,NAmes,1Fam,2Story,6,5,1966,Gable,VinylSd,TA,CBlock,512,148,660,GasA,660,688,1348,0,0,1,1,3,1,TA,2,453,188,108,0,7,2006,155000
