MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,SalePrice
20,RL,11200,Inside,Sawyer,1Fam,1Story,5,5,1965,Hip,HdBoard,None,0,CBlock,906,134,1040,Ex,1040,0,1040,1,0,1,3,1,TA,129500
60,RL,11924,Inside,NridgHt,1Fam,2Story,9,5,2005,Hip,WdShing,Stone,286,PConc,998,177,1175,Ex,1182,1142,2324,1,0,3,4,1,Ex,345000
20,RL,12968,Inside,Sawyer,1Fam,1Story,5,6,1962,Hip,HdBoard,None,0,CBlock,737,175,912,TA,912,0,912,1,0,1,2,1,TA,144000
20,RL,10652,Inside,CollgCr,1Fam,1Story,7,5,2006,Gable,VinylSd,Stone,306,PConc,0,1494,1494,Ex,1494,0,1494,0,0,2,3,1,Gd,279500
20,RL,10920,Corner,NAmes,1Fam,1Story,6,5,1960,Hip,MetalSd,BrkFace,212,CBlock,733,520,1253,TA,1253,0,1253,1,0,1,2,1,TA,157000
45,RM,6120,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,Gable,Wd Sdng,None,0,BrkTil,0,832,832,Ex,854,0,854,0,0,1,2,1,TA,132000
20,RL,11241,CulDSac,NAmes,1Fam,1Story,6,7,1970,Gable,Wd Sdng,BrkFace,180,CBlock,578,426,1004,Ex,1004,0,1004,1,0,1,2,1,TA,149000
90,RL,10791,Inside,Sawyer,Duplex,1Story,4,5,1967,Gable,MetalSd,None,0,Slab,0,0,0,TA,1296,0,1296,0,0,2,2,2,TA,90000
20,RL,13695,Inside,SawyerW,1Fam,1Story,5,5,2004,Gable,VinylSd,None,0,PConc,646,468,1114,Ex,1114,0,1114,1,0,1,3,1,Gd,159000
20,RL,7560,Inside,NAmes,1Fam,1Story,5,6,1958,Hip,BrkFace,None,0,CBlock,504,525,1029,TA,1339,0,1339,0,0,1,3,1,TA,139000
60,RL,14215,Corner,NridgHt,1Fam,2Story,8,5,2005,Gable,VinylSd,BrkFace,380,PConc,0,1158,1158,Ex,1158,1218,2376,0,0,3,4,1,Gd,325300
45,RM,7449,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,Gable,Wd Sdng,None,0,PConc,0,637,637,Ex,1108,0,1108,0,0,1,3,1,Gd,139400
20,RL,9742,Inside,CollgCr,1Fam,1Story,8,5,2002,Hip,VinylSd,BrkFace,281,PConc,0,1777,1777,Ex,1795,0,1795,0,0,2,3,1,Gd,230000
120,RM,4224,Inside,MeadowV,TwnhsE,1Story,5,7,1976,Gable,CemntBd,None,0,PConc,840,200,1040,TA,1060,0,1060,1,0,1,3,1,TA,129900
20,RL,8246,Inside,Sawyer,1Fam,1Story,5,8,1968,Gable,Plywood,None,0,CBlock,188,204,1060,Ex,1060,0,1060,1,0,1,3,1,Gd,154000
20,RL,14230,Corner,NridgHt,1Fam,1Story,8,5,2007,Gable,VinylSd,Stone,640,PConc,0,1566,1566,Ex,1600,0,1600,0,0,2,3,1,Gd,256300
20,RL,7200,Corner,NAmes,1Fam,1Story,5,7,1951,Gable,Wd Sdng,None,0,CBlock,234,180,900,TA,900,0,900,0,1,1,3,1,Gd,134800
20,RL,11478,Inside,NridgHt,1Fam,1Story,8,5,2007,Gable,VinylSd,Stone,200,PConc,1218,486,1704,Ex,1704,0,1704,1,0,2,3,1,Gd,306000
20,RL,16321,CulDSac,NAmes,1Fam,1Story,5,6,1957,Gable,MetalSd,None,0,CBlock,1277,207,1484,TA,1600,0,1600,1,0,1,2,1,TA,207500
30,RM,6324,Inside,BrkSide,1Fam,1Story,4,6,1927,Gable,MetalSd,None,0,BrkTil,0,520,520,Fa,520,0,520,0,0,1,1,1,Fa,68500
70,C (all),8500,Inside,IDOTRR,1Fam,2Story,4,4,1920,Gambrel,BrkFace,None,0,BrkTil,0,649,649,TA,649,668,1317,0,0,1,3,1,TA,40000
20,RL,8544,CulDSac,Sawyer,1Fam,1Story,5,6,1966,Gable,HdBoard,None,0,CBlock,0,1228,1228,Gd,1228,0,1228,0,0,1,3,1,Gd,149350
20,RL,11049,Corner,CollgCr,1Fam,1Story,8,5,2007,Gable,VinylSd,None,0,PConc,0,1234,1234,Ex,1234,0,1234,0,0,2,3,1,Gd,179900
20,RL,10552,Inside,NAmes,1Fam,1Story,5,5,1959,Hip,BrkFace,None,0,CBlock,1018,380,1398,Gd,1700,0,1700,0,1,1,4,1,Gd,165500
120,RL,7313,Inside,NridgHt,TwnhsE,1Story,9,5,2005,Hip,MetalSd,BrkFace,246,PConc,1153,408,1561,Ex,1561,0,1561,1,0,2,2,1,Ex,277500
60,RL,13418,Inside,NridgHt,1Fam,2Story,8,5,2004,Gable,VinylSd,Stone,132,PConc,0,1117,1117,Ex,1132,1320,2452,0,0,3,4,1,Gd,309000
20,RL,10859,Corner,CollgCr,1Fam,1Story,5,5,1994,Gable,VinylSd,None,0,PConc,0,1097,1097,Ex,1097,0,1097,0,0,1,3,1,TA,145000
20,RL,8532,Inside,NAmes,1Fam,1Story,5,6,1954,Hip,Wd Sdng,BrkFace,650,CBlock,1213,84,1297,Gd,1297,0,1297,0,1,1,3,1,TA,153000
20,RL,7922,Inside,NAmes,1Fam,1Story,5,7,1953,Gable,VinylSd,None,0,CBlock,731,326,1057,TA,1057,0,1057,1,0,1,3,1,Gd,109000
90,RL,6040,Inside,Edwards,Duplex,1Story,4,5,1955,Gable,AsbShng,None,0,PConc,0,0,0,TA,1152,0,1152,0,0,2,2,2,Fa,82000
20,RL,8658,Inside,NAmes,1Fam,1Story,6,5,1965,Gable,Wd Sdng,BrkFace,101,CBlock,643,445,1088,Ex,1324,0,1324,0,0,2,3,1,TA,160000
20,RL,16905,Inside,Timber,1Fam,1Story,5,6,1959,Gable,VinylSd,None,0,CBlock,967,383,1350,Gd,1328,0,1328,0,1,1,2,1,TA,170000
85,RL,9180,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,Gable,HdBoard,None,0,CBlock,747,0,840,Gd,884,0,884,1,0,1,2,1,Gd,144000
20,RL,9200,CulDSac,CollgCr,1Fam,1Story,5,6,1975,Hip,VinylSd,None,0,CBlock,280,167,938,TA,938,0,938,1,0,1,3,1,TA,130250
20,RL,7945,Inside,NAmes,1Fam,1Story,5,6,1959,Gable,BrkFace,None,0,CBlock,179,465,1150,Ex,1150,0,1150,1,0,1,3,1,TA,141000
120,RL,7658,Inside,NridgHt,TwnhsE,1Story,9,5,2005,Hip,MetalSd,BrkFace,412,PConc,456,1296,1752,Ex,1752,0,1752,1,0,2,2,1,Ex,319900
50,RL,12822,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003,Gable,VinylSd,None,0,PConc,1351,83,1434,Ex,1518,631,2149,1,0,1,1,1,Gd,239686
20,FV,11096,Inside,Somerst,1Fam,1Story,8,5,2006,Gable,VinylSd,None,0,PConc,24,1632,1656,Ex,1656,0,1656,0,0,2,3,1,Gd,249700
190,RM,4456,Inside,OldTown,2fmCon,2Story,4,5,1920,Gable,MetalSd,None,0,BrkTil,0,736,736,Gd,736,716,1452,0,0,2,2,3,TA,113000
20,RL,7742,Inside,Sawyer,1Fam,1Story,5,7,1966,Gable,HdBoard,None,0,CBlock,763,192,955,Ex,955,0,955,1,0,1,3,1,TA,127000
60,RL,13869,Corner,Gilbert,1Fam,2Story,6,6,1997,Gable,VinylSd,None,0,PConc,182,612,794,Gd,794,676,1470,0,1,2,3,1,TA,177000
50,RM,6240,Inside,BrkSide,1Fam,1.5Fin,6,6,1934,Gable,Wd Sdng,None,0,PConc,0,816,816,TA,816,0,1176,0,0,1,3,1,TA,114500
90,RM,8472,Corner,IDOTRR,Duplex,1Story,5,5,1963,Gable,Wd Sdng,None,0,CBlock,104,0,816,TA,816,0,816,1,0,1,2,1,TA,110000
20,RL,50271,Inside,Veenker,1Fam,1Story,9,5,1981,Gable,WdShing,None,0,CBlock,1810,32,1842,Gd,1842,0,1842,2,0,0,0,1,Gd,385000
80,RL,7134,Inside,NAmes,1Fam,SLvl,5,5,1955,Gable,MetalSd,None,0,CBlock,384,0,384,TA,1360,0,1360,0,0,1,3,1,TA,130000
20,RL,10175,Inside,NAmes,1Fam,1Story,6,5,1964,Gable,HdBoard,BrkFace,272,CBlock,490,935,1425,Gd,1425,0,1425,0,0,2,3,1,TA,180500
160,FV,2645,Inside,Somerst,Twnhs,2Story,8,5,1999,Gable,MetalSd,BrkFace,456,PConc,649,321,970,Ex,983,756,1739,1,0,2,3,1,Gd,172500
60,RL,11645,Corner,CollgCr,1Fam,2Story,7,5,2004,Gable,VinylSd,None,0,PConc,0,860,860,Ex,860,860,1720,0,0,2,3,1,Gd,196500
60,RL,13682,CulDSac,StoneBr,1Fam,2Story,10,5,2006,Hip,VinylSd,BrkFace,1031,PConc,0,1410,1410,Ex,1426,1519,2945,0,0,3,3,1,Gd,438780
20,RL,7200,Inside,CollgCr,1Fam,1Story,5,7,1972,Gable,HdBoard,None,0,CBlock,632,148,780,Ex,780,0,780,0,0,1,2,1,TA,124900
20,RL,13072,Inside,SawyerW,1Fam,1Story,6,5,2004,Gable,VinylSd,None,0,PConc,941,217,1158,Ex,1158,0,1158,1,0,1,3,1,Gd,158000
75,RM,7200,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,Gable,MetalSd,None,0,BrkTil,0,530,530,TA,581,530,1111,0,0,1,3,1,Fa,101000
120,RL,6442,Inside,NridgHt,TwnhsE,1Story,8,5,2006,Gable,VinylSd,Stone,178,PConc,24,1346,1370,Ex,1370,0,1370,0,0,2,2,1,Gd,202500
70,RM,10300,Inside,OldTown,1Fam,2Story,7,6,1921,Gable,Stucco,None,0,BrkTil,0,576,576,Gd,902,808,1710,0,0,2,3,1,TA,140000
60,RL,9375,Inside,CollgCr,1Fam,2Story,7,5,1997,Gable,VinylSd,BrkFace,573,PConc,739,318,1057,Ex,1057,977,2034,1,0,2,3,1,Gd,219500
60,RL,9591,Inside,NridgHt,1Fam,2Story,8,5,2004,Gable,VinylSd,BrkFace,344,PConc,0,1143,1143,Ex,1143,1330,2473,0,0,2,4,1,Gd,317000
20,RL,19900,Inside,NAmes,1Fam,1Story,7,5,1970,Gable,Plywood,BrkFace,287,CBlock,912,1035,1947,TA,2207,0,2207,1,0,2,3,1,TA,180000
20,RL,10665,Inside,CollgCr,1Fam,1Story,7,5,2003,Gable,VinylSd,BrkFace,167,PConc,1013,440,1453,Ex,1479,0,1479,1,0,2,3,1,Gd,226000
30,RM,4608,Corner,OldTown,1Fam,1Story,4,6,1945,Gable,MetalSd,None,0,CBlock,0,747,747,TA,747,0,747,0,0,1,2,1,TA,80000
50,RL,15593,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,Gable,BrkFace,None,0,CBlock,603,701,1304,TA,1304,983,2287,0,0,2,3,1,TA,225000
20,RL,13651,Inside,NAmes,1Fam,1Story,7,6,1973,Gable,Plywood,BrkFace,1115,CBlock,1880,343,2223,Ex,2223,0,2223,1,0,2,3,1,TA,244000
20,RL,7599,Corner,Mitchel,1Fam,1Story,4,6,1982,Gable,HdBoard,None,0,CBlock,565,280,845,TA,845,0,845,1,0,1,2,1,TA,129500
60,RL,10141,Corner,Gilbert,1Fam,2Story,7,5,1998,Gable,VinylSd,BrkFace,40,PConc,0,832,832,Gd,885,833,1718,0,0,2,3,1,TA,185000
20,RL,10200,Inside,NAmes,1Fam,1Story,5,7,1954,Gable,Wd Sdng,BrkFace,104,CBlock,320,404,1086,Gd,1086,0,1086,1,0,1,3,1,TA,144900
50,RM,5790,Corner,OldTown,1Fam,2Story,3,6,1915,Gambrel,VinylSd,None,0,CBlock,0,840,840,Gd,840,765,1605,0,0,2,3,2,TA,107400
180,RM,1596,Inside,MeadowV,Twnhs,SLvl,4,5,1973,Gable,CemntBd,None,0,CBlock,462,0,462,TA,526,462,988,1,0,1,2,1,TA,91000
20,RL,8475,Inside,NAmes,1Fam,1Story,4,7,1956,Gable,VinylSd,None,0,CBlock,228,724,952,Ex,952,0,952,0,0,1,2,1,TA,135750
50,RM,8635,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,Gable,Wd Sdng,None,0,CBlock,336,295,672,TA,1072,213,1285,1,0,1,2,1,TA,127000
90,RL,10778,Inside,Sawyer,Duplex,1Story,4,5,1968,Hip,HdBoard,None,0,CBlock,0,1768,1768,TA,1768,0,1768,0,0,2,4,2,TA,136500
50,RM,10440,Corner,OldTown,1Fam,2Story,5,6,1910,Gable,Wd Sdng,None,0,PConc,0,440,440,Gd,682,548,1230,0,0,1,2,1,TA,110000
60,RL,13000,Corner,NAmes,1Fam,2Story,6,6,1968,Gable,VinylSd,BrkFace,576,CBlock,448,448,896,TA,1182,960,2142,0,0,2,4,1,Gd,193500
120,RM,4500,FR2,Mitchel,TwnhsE,1Story,6,5,1998,Hip,VinylSd,BrkFace,443,PConc,1201,36,1237,Ex,1337,0,1337,1,0,2,2,1,TA,153500
20,RL,10206,Inside,Somerst,1Fam,1Story,8,5,2007,Gable,VinylSd,Stone,468,PConc,33,1530,1563,Ex,1563,0,1563,0,0,2,3,1,Gd,245000
20,RL,8892,Inside,NAmes,1Fam,1Story,5,5,1960,Gable,MetalSd,BrkCmn,66,CBlock,0,1065,1065,Gd,1065,0,1065,0,0,1,3,1,TA,126500
80,RL,8530,Inside,Gilbert,1Fam,SLvl,7,5,1995,Gable,HdBoard,BrkFace,22,PConc,0,384,384,Gd,804,670,1474,0,0,2,3,1,TA,168500
60,RL,16059,Corner,NoRidge,1Fam,2Story,8,5,1991,Hip,HdBoard,BrkFace,284,CBlock,0,1288,1288,Ex,1301,1116,2417,0,0,2,4,1,Gd,260000
60,RL,11911,Inside,Gilbert,1Fam,2Story,6,5,2005,Gable,VinylSd,None,0,PConc,0,684,684,Ex,684,876,1560,0,0,2,3,1,Gd,174000
160,FV,3951,Corner,Somerst,TwnhsE,2Story,6,5,2009,Gable,VinylSd,Stone,76,PConc,0,612,612,Ex,612,612,1224,0,0,2,2,1,Gd,164500
50,C (all),8470,Corner,IDOTRR,1Fam,1.5Fin,3,2,1915,Hip,Plywood,None,0,CBlock,0,1013,1013,TA,1013,0,1526,0,0,1,2,1,Fa,85000
20,RL,8070,Inside,CollgCr,1Fam,1Story,4,5,1994,Gable,VinylSd,None,0,PConc,588,402,990,Ex,990,0,990,1,0,1,3,1,TA,123600
20,RL,7200,Inside,NAmes,1Fam,1Story,4,5,1950,Gable,BrkFace,None,0,Slab,0,0,0,TA,1040,0,1040,0,0,1,2,1,TA,109900
20,RL,8500,Inside,NAmes,1Fam,1Story,5,3,1961,Hip,HdBoard,BrkCmn,203,CBlock,600,635,1235,TA,1235,0,1235,0,0,1,2,1,TA,98600
30,RL,13360,Inside,Crawfor,1Fam,1Story,5,7,1921,Gable,Wd Sdng,None,0,BrkTil,713,163,876,Ex,964,0,964,1,0,1,2,1,TA,163500
190,C (all),7200,Corner,OldTown,2fmCon,2.5Unf,6,6,1910,Hip,MetalSd,None,0,BrkTil,1046,168,1214,Ex,1260,1031,2291,0,1,2,4,2,TA,133900
60,RL,9337,Inside,CollgCr,1Fam,2Story,6,5,1997,Gable,VinylSd,None,0,PConc,648,176,824,Ex,905,881,1786,1,0,2,3,1,Gd,204750
60,RL,9765,Corner,Gilbert,1Fam,2Story,6,8,1993,Gable,VinylSd,BrkFace,68,PConc,310,370,680,Gd,680,790,1470,0,0,2,3,1,TA,185000
20,RL,10264,Inside,CollgCr,1Fam,1Story,7,5,1999,Gable,VinylSd,BrkFace,183,PConc,1162,426,1588,Ex,1588,0,1588,0,0,2,3,1,Gd,214000
20,RL,10921,Inside,Edwards,1Fam,1Story,4,5,1965,Hip,HdBoard,BrkFace,48,CBlock,520,440,960,TA,960,0,960,1,0,1,3,1,TA,94750
30,RL,10625,Corner,Edwards,1Fam,1Story,5,5,1920,Gable,Wd Sdng,None,0,BrkTil,108,350,458,Fa,835,0,835,0,0,1,2,1,TA,83000
20,RL,9320,Inside,NAmes,1Fam,1Story,4,5,1959,Gable,Plywood,None,0,CBlock,569,381,950,Fa,1225,0,1225,1,0,1,3,1,TA,128950
20,RL,10603,Inside,NWAmes,1Fam,1Story,6,7,1977,Gable,Plywood,BrkFace,28,PConc,1200,410,1610,Gd,1610,0,1610,1,0,2,3,1,Gd,205000
60,RL,9206,Inside,SawyerW,1Fam,2Story,6,5,1985,Gable,HdBoard,BrkFace,336,CBlock,0,741,741,TA,977,755,1732,0,0,2,3,1,Gd,178000
90,RL,7018,Inside,SawyerW,Duplex,1Story,5,5,1979,Gable,HdBoard,None,0,Slab,0,0,0,TA,1535,0,1535,0,0,2,4,2,TA,118964
20,RL,10402,Corner,CollgCr,1Fam,1Story,7,5,2009,Gable,VinylSd,None,0,PConc,0,1226,1226,Ex,1226,0,1226,0,0,2,3,1,Gd,198900
50,RM,7758,Corner,IDOTRR,1Fam,1.5Fin,7,4,1931,Gable,Stucco,BrkFace,600,PConc,224,816,1040,Ex,1226,592,1818,0,0,1,4,1,TA,169500
60,FV,9375,Inside,Somerst,1Fam,2Story,8,5,2003,Hip,VinylSd,BrkFace,768,PConc,0,1053,1053,Ex,1053,939,1992,0,0,2,3,1,Gd,250000
30,RM,10800,Inside,OldTown,1Fam,1Story,4,7,1885,Mansard,VinylSd,None,0,BrkTil,0,641,641,Gd,1047,0,1047,0,0,1,2,1,TA,100000
20,RM,6000,Inside,OldTown,1Fam,1Story,5,5,1948,Gable,VinylSd,None,0,CBlock,104,516,789,Ex,789,0,789,0,0,1,2,1,TA,115000
50,RM,8500,Corner,IDOTRR,1Fam,1.5Fin,5,7,1919,Gable,CemntBd,None,0,CBlock,0,793,793,TA,997,520,1517,0,0,2,3,1,Fa,115000
20,RL,11751,Inside,NWAmes,1Fam,1Story,6,6,1977,Hip,Plywood,BrkFace,480,CBlock,705,1139,1844,Ex,1844,0,1844,0,0,2,3,1,TA,190000
50,RL,9525,Inside,Edwards,1Fam,1.5Fin,6,4,1954,Gable,Wd Sdng,None,0,CBlock,444,550,994,Gd,1216,639,1855,0,0,2,4,1,TA,136900
80,RL,7750,Inside,Gilbert,1Fam,SLvl,7,5,2000,Gable,VinylSd,None,0,PConc,250,134,384,Ex,774,656,1430,0,0,2,3,1,TA,180000
60,RL,9965,Inside,CollgCr,1Fam,2Story,7,5,2007,Gable,VinylSd,Stone,220,PConc,984,280,1264,Ex,1282,1414,2696,1,0,2,4,1,Ex,383970
20,RL,21000,Corner,Crawfor,1Fam,1Story,6,5,1953,Hip,Wd Sdng,BrkFace,184,CBlock,35,905,1809,TA,2259,0,2259,1,0,2,3,1,Gd,217000
70,RL,7259,Inside,Crawfor,1Fam,2Story,6,8,1945,Gambrel,Wd Sdng,None,0,CBlock,774,104,1028,Ex,1436,884,2320,1,0,2,3,1,Gd,259500
160,FV,3230,Corner,Somerst,TwnhsE,2Story,6,5,1999,Gable,MetalSd,BrkFace,1129,PConc,419,310,729,Gd,729,729,1458,0,0,2,2,1,TA,176000
20,RL,11616,Inside,Sawyer,1Fam,1Story,5,5,1962,Gable,Wd Sdng,BrkFace,116,CBlock,170,252,1092,TA,1092,0,1092,0,1,1,3,1,TA,139000
20,RL,8536,Corner,Edwards,1Fam,1Story,5,5,2006,Gable,VinylSd,None,0,PConc,0,1125,1125,Gd,1125,0,1125,0,0,1,2,1,TA,155000
60,RL,12376,Corner,SawyerW,1Fam,2Story,7,5,1990,Hip,Plywood,None,0,PConc,1470,203,1673,Gd,1699,1523,3222,1,0,3,5,1,Gd,320000
60,RL,8461,Inside,CollgCr,1Fam,2Story,6,5,2005,Gable,VinylSd,None,0,PConc,0,728,728,Ex,728,728,1456,0,0,2,3,1,Gd,163990
80,RL,21453,CulDSac,ClearCr,1Fam,SLvl,6,5,1969,Flat,Plywood,None,0,CBlock,938,0,938,Ex,988,0,988,1,0,1,1,1,TA,180000
50,RM,6060,Inside,IDOTRR,1Fam,1.5Fin,4,5,1939,Gable,AsbShng,None,0,PConc,0,732,732,Gd,772,351,1123,0,0,1,3,1,TA,100000
20,RL,9464,Corner,NAmes,1Fam,1Story,6,7,1958,Hip,MetalSd,BrkFace,135,CBlock,570,510,1080,Gd,1080,0,1080,0,0,1,3,1,TA,136000
120,RL,7892,Inside,SawyerW,TwnhsE,1Story,6,5,1993,Gable,Plywood,None,0,PConc,300,899,1199,Ex,1199,0,1199,0,0,2,2,1,Gd,153900
20,RL,17043,CulDSac,NWAmes,1Fam,1Story,6,5,1979,Gable,HdBoard,None,0,CBlock,0,1362,1362,TA,1586,0,1586,0,0,2,3,1,TA,181000
190,RM,6780,Inside,IDOTRR,2fmCon,1.5Fin,6,8,1935,Gable,Wd Sdng,None,0,CBlock,490,30,520,Gd,520,0,754,1,0,1,2,1,TA,84500
120,RL,4928,Inside,NPkVill,TwnhsE,1Story,6,5,1976,Gable,Plywood,None,0,CBlock,120,958,1078,TA,958,0,958,0,0,2,2,1,TA,128000
45,RM,4388,Inside,OldTown,1Fam,1.5Unf,5,7,1930,Gable,WdShing,None,0,BrkTil,116,556,672,Ex,840,0,840,0,0,1,3,1,TA,87000
60,RL,7590,Inside,NAmes,1Fam,2Story,6,5,1966,Gable,VinylSd,BrkFace,266,CBlock,512,148,660,TA,660,688,1348,0,0,1,3,1,TA,155000
20,RL,8973,Inside,NAmes,1Fam,1Story,5,7,1958,Gable,Plywood,BrkFace,85,CBlock,567,413,1008,TA,1053,0,1053,0,1,1,3,1,Ex,150000
60,RL,14200,Corner,NAmes,1Fam,2Story,7,6,1966,Gable,MetalSd,BrkFace,309,CBlock,445,479,924,Ex,1216,941,2157,0,0,2,4,1,Gd,226000
60,RL,12224,Corner,Gilbert,1Fam,2Story,6,5,2000,Gable,VinylSd,BrkFace,40,PConc,695,297,992,Ex,1022,1032,2054,1,0,2,3,1,Gd,244000
20,RL,7388,Corner,NAmes,1Fam,1Story,5,6,1959,Gable,MetalSd,None,0,CBlock,405,658,1063,Gd,1327,0,1327,1,0,1,3,1,Gd,150750
20,RL,6853,Inside,Timber,1Fam,1Story,8,5,2001,Gable,VinylSd,BrkFace,136,PConc,1005,262,1267,Ex,1296,0,1296,1,0,2,2,1,Gd,220000
20,RL,10335,Inside,Sawyer,1Fam,1Story,5,6,1968,Gable,Plywood,None,0,CBlock,570,891,1461,Gd,1721,0,1721,0,0,2,3,1,TA,180000
20,RL,10400,Inside,NWAmes,1Fam,1Story,7,6,1970,Hip,Plywood,BrkFace,288,PConc,0,1304,1304,Gd,1682,0,1682,0,0,2,3,1,TA,174000
20,RL,10355,Corner,NAmes,1Fam,1Story,5,5,1967,Gable,MetalSd,BrkFace,196,CBlock,695,519,1214,TA,1214,0,1214,0,0,2,3,1,TA,143000
90,RL,11070,Inside,Mitchel,Duplex,1Story,7,5,1988,Gable,VinylSd,BrkFace,70,CBlock,0,1907,1907,Gd,1959,0,1959,0,0,3,5,2,TA,171000
60,RL,9066,Inside,CollgCr,1Fam,2Story,8,5,1999,Gable,VinylSd,BrkFace,320,PConc,668,336,1004,Ex,1004,848,1852,0,0,2,3,1,Gd,230000
60,RL,15426,Inside,CollgCr,1Fam,2Story,6,5,1997,Gable,VinylSd,None,0,PConc,821,107,928,Ex,928,836,1764,1,0,2,3,1,Gd,231500
20,RL,10500,FR2,NAmes,1Fam,1Story,4,5,1971,Gable,HdBoard,None,0,CBlock,432,432,864,TA,864,0,864,0,0,1,3,1,TA,115000
20,RL,11645,Inside,CollgCr,1Fam,1Story,7,5,2005,Gable,VinylSd,None,0,PConc,1300,434,1734,Ex,1734,0,1734,1,0,2,3,1,Gd,260000
50,RL,8520,Corner,NAmes,1Fam,1.5Fin,5,4,1952,Gable,BrkFace,None,0,CBlock,507,403,910,Fa,910,475,1385,0,0,2,4,1,TA,166000
20,RL,10335,Inside,CollgCr,1Fam,1Story,7,5,1999,Gable,VinylSd,BrkFace,183,PConc,679,811,1490,Ex,1501,0,1501,1,0,2,3,1,Gd,204000
90,RM,9100,Inside,Sawyer,Duplex,1Story,5,5,1963,Gable,HdBoard,BrkFace,336,CBlock,1332,396,1728,TA,1728,0,1728,1,0,2,6,2,TA,125000
160,RM,2522,Inside,Edwards,Twnhs,2Story,6,5,2004,Gable,VinylSd,Stone,50,PConc,0,970,970,Ex,970,739,1709,0,0,2,3,1,Gd,130000
30,RM,6120,Corner,BrkSide,1Fam,1Story,5,7,1931,Gable,Wd Sdng,None,0,BrkTil,209,506,715,TA,875,0,875,1,0,1,2,1,TA,105000
60,RL,9505,CulDSac,Gilbert,1Fam,2Story,7,5,2001,Gable,VinylSd,BrkFace,180,PConc,0,884,884,Ex,884,1151,2035,0,0,2,3,1,Gd,222500
20,RL,7500,Inside,SawyerW,1Fam,1Story,7,5,2004,Gable,VinylSd,BrkFace,120,PConc,680,400,1080,Ex,1080,0,1080,1,0,1,3,1,Gd,141000
50,RM,6240,Inside,BrkSide,1Fam,1.5Fin,5,4,1936,Gable,MetalSd,None,0,BrkTil,0,896,896,Gd,896,448,1344,0,0,1,3,1,TA,115000
20,RL,10356,Corner,CollgCr,1Fam,1Story,5,6,1975,Gable,HdBoard,None,0,CBlock,716,253,969,TA,969,0,969,0,0,1,3,1,TA,122000
